Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
266,John Wall\walljo01,28-101,G,12/16/18,WAS,,LAL,W,1,42,16,27,0.593,12,19,0.632,4,8,0.5,4,6,0.667,1,5,6,14,3,2,5,3,40,36.9
267,T.J. Warren\warretj01,25-064,F,11/8/18,PHO,,BOS,L,1,42,9,17,0.529,6,13,0.462,3,4,0.75,8,8,1,1,6,7,1,1,1,0,2,29,24.8
268,Andrew Wiggins\wiggian01,23-303,F-G,12/23/18,MIN,@,OKC,W,1,42,11,20,0.55,9,16,0.563,2,4,0.5,6,10,0.6,1,5,6,5,0,0,4,4,30,18.9
269,Delon Wright\wrighde01,26-346,G,4/7/19,MEM,,DAL,L,1,42,8,17,0.471,7,12,0.583,1,5,0.2,3,4,0.75,0,13,13,12,0,1,1,5,20,20.9
270,Delon Wright\wrighde01,26-328,G,3/20/19,MEM,,HOU,W,1,42,3,9,0.333,2,5,0.4,1,4,0.25,2,3,0.667,1,2,3,4,2,0,4,3,9,4.4
271,Steven Adams\adamsst01,25-181,C,1/17/19,OKC,,LAL,L,1,41,6,9,0.667,6,9,0.667,0,0,,5,6,0.833,7,8,15,1,4,0,2,3,17,21.5
272,LaMarcus Aldridge\aldrila01,33-125,F-C,11/21/18,SAS,,MEM,L,1,41,6,20,0.3,6,19,0.316,0,1,0,7,9,0.778,6,5,11,4,0,1,0,4,19,14.2
273,Grayson Allen\allengr01,23-184,G,4/10/19,UTA,@,LAC,L,1,41,11,30,0.367,6,17,0.353,5,13,0.385,13,14,0.929,2,5,7,4,1,1,3,1,40,27
274,Giannis Antetokounmpo\antetgi01,23-339,F-G,11/10/18,MIL,@,LAC,L,1,41,11,19,0.579,11,17,0.647,0,2,0,5,11,0.455,4,14,18,4,5,2,6,5,27,23.9
275,Trevor Ariza\arizatr01,33-252,F,3/9/19,WAS,@,MIN,L,1,41,8,13,0.615,1,2,0.5,7,11,0.636,4,4,1,1,2,3,4,1,0,1,3,27,24
276,Trevor Ariza\arizatr01,33-142,F,11/19/18,PHO,@,PHI,L,1,41,4,8,0.5,2,3,0.667,2,5,0.4,0,2,0,0,7,7,5,3,1,1,2,10,12.7
277,Trevor Ariza\arizatr01,33-146,F,11/23/18,PHO,@,MIL,W,1,41,4,10,0.4,1,3,0.333,3,7,0.429,2,2,1,0,11,11,3,2,0,2,3,13,11.8
278,Trevor Ariza\arizatr01,33-182,F,12/29/18,WAS,,CHO,W,1,41,8,17,0.471,4,7,0.571,4,10,0.4,4,4,1,2,5,7,9,0,0,4,1,24,20.1
279,D.J. Augustin\augusdj01,31-046,G,12/26/18,ORL,,PHO,L,1,41,8,18,0.444,5,10,0.5,3,8,0.375,8,9,0.889,1,1,2,6,3,0,3,1,27,22
280,Lonzo Ball\balllo01,21-078,G,1/13/19,LAL,,CLE,L,1,41,5,14,0.357,3,6,0.5,2,8,0.25,1,2,0.5,3,6,9,8,2,0,1,4,13,13.7
281,Harrison Barnes\barneha02,26-259,F,2/13/19,SAC,@,DEN,L,1,41,7,19,0.368,4,10,0.4,3,9,0.333,2,2,1,3,8,11,4,2,0,1,2,19,16
282,Harrison Barnes\barneha02,26-273,F,2/27/19,SAC,,MIL,L,1,41,6,11,0.545,3,5,0.6,3,6,0.5,0,0,,4,10,14,0,1,1,2,3,15,14
283,Nicolas Batum\batumni01,30-075,F-G,2/27/19,CHO,,HOU,L,1,41,7,13,0.538,4,8,0.5,3,5,0.6,0,0,,2,4,6,6,2,2,2,2,17,18.1
284,Bradley Beal\bealbr01,25-240,G,2/23/19,WAS,,IND,L,1,41,12,22,0.545,9,14,0.643,3,8,0.375,8,8,1,1,2,3,6,2,0,2,3,35,28.7
285,Bradley Beal\bealbr01,25-228,G,2/11/19,WAS,@,DET,L,1,41,9,19,0.474,7,11,0.636,2,8,0.25,12,12,1,0,6,6,10,2,1,1,3,32,31.6
286,Bradley Beal\bealbr01,25-253,G,3/8/19,WAS,@,CHO,L,1,41,4,21,0.19,3,15,0.2,1,6,0.167,6,6,1,2,2,4,7,5,1,3,2,15,10.7
287,Bradley Beal\bealbr01,25-145,G,11/20/18,WAS,,LAC,W,1,41,8,17,0.471,8,14,0.571,0,3,0,11,14,0.786,1,2,3,7,0,1,2,3,27,20.8
288,Malik Beasley\beaslma01,22-067,G,2/1/19,DEN,,HOU,W,1,41,12,17,0.706,7,8,0.875,5,9,0.556,6,7,0.857,0,2,2,3,1,0,2,3,35,28
289,DeAndre' Bembry\bembrde01,24-191,F,1/11/19,ATL,@,PHI,W,1,41,6,11,0.545,6,10,0.6,0,1,0,2,4,0.5,2,4,6,5,1,0,1,3,14,12.8
290,Devin Booker\bookede01,22-137,G,3/16/19,PHO,@,NOP,W,1,41,12,26,0.462,9,18,0.5,3,8,0.375,13,18,0.722,1,4,5,13,0,1,7,3,40,28.1
291,Devin Booker\bookede01,22-131,G,3/10/19,PHO,@,GSW,W,1,41,13,23,0.565,11,17,0.647,2,6,0.333,9,9,1,1,7,8,11,2,0,5,3,37,32.4
292,Devin Booker\bookede01,22-146,G,3/25/19,PHO,@,UTA,L,1,41,19,34,0.559,14,26,0.538,5,8,0.625,16,17,0.941,1,3,4,4,1,0,6,5,59,39.8
293,Avery Bradley\bradlav01,28-055,G,1/20/19,LAC,@,SAS,W,1,41,6,15,0.4,3,9,0.333,3,6,0.5,0,0,,0,5,5,4,1,0,2,2,15,9.4
294,Mikal Bridges\bridgmi01,22-214,G,4/1/19,PHO,,CLE,W,1,41,5,9,0.556,2,3,0.667,3,6,0.5,2,2,1,0,2,2,2,0,3,1,2,15,13
295,Miles Bridges\bridgmi02,21-020,G-F,4/10/19,CHO,,ORL,L,1,41,8,13,0.615,8,9,0.889,0,4,0,2,2,1,1,4,5,3,2,2,1,0,18,18.5
296,Reggie Bullock\bullore01,27-221,G-F,10/23/18,DET,,PHI,W,1,41,6,14,0.429,4,7,0.571,2,7,0.286,3,3,1,1,1,2,3,0,0,0,0,17,12.7
297,Jimmy Butler\butleji01,29-056,F-G,11/9/18,MIN,@,SAC,L,1,41,3,12,0.25,3,10,0.3,0,2,0,7,10,0.7,2,6,8,8,2,0,3,1,13,12
298,Bruno Caboclo\cabocbr01,23-180,F,3/20/19,MEM,,HOU,W,1,41,6,10,0.6,5,5,1,1,5,0.2,2,4,0.5,2,5,7,3,0,0,2,1,15,12.2
299,Clint Capela\capelca01,24-285,C,2/27/19,HOU,@,CHO,W,1,41,10,16,0.625,10,16,0.625,0,0,,3,4,0.75,5,12,17,2,1,1,0,3,23,24.4
300,Alex Caruso\carusal01,25-040,G,4/9/19,LAL,,POR,L,1,41,5,16,0.313,5,14,0.357,0,2,0,2,2,1,2,5,7,13,1,1,7,3,12,8.3
301,Bonzie Colson\colsobo01,23-078,F,3/31/19,MIL,@,ATL,L,1,41,5,18,0.278,4,9,0.444,1,9,0.111,4,4,1,5,11,16,2,1,1,1,2,15,12.5
302,Robert Covington\covinro01,27-335,F,11/14/18,MIN,,NOP,W,1,41,4,11,0.364,1,4,0.25,3,7,0.429,2,2,1,0,7,7,2,2,1,1,2,13,11.3
303,Anthony Davis\davisan02,25-248,F-C,11/14/18,NOP,@,MIN,L,1,41,9,25,0.36,7,22,0.318,2,3,0.667,9,10,0.9,2,9,11,2,2,4,0,2,29,24.2
304,Anthony Davis\davisan02,25-255,F-C,11/21/18,NOP,@,PHI,L,1,41,4,13,0.308,4,11,0.364,0,2,0,4,7,0.571,6,10,16,6,5,5,6,3,12,16
305,Anthony Davis\davisan02,25-264,F-C,11/30/18,NOP,@,MIA,L,1,41,15,23,0.652,13,18,0.722,2,5,0.4,9,10,0.9,1,8,9,2,1,4,2,2,41,36
306,Anthony Davis\davisan02,25-234,F-C,10/31/18,NOP,@,GSW,L,1,41,6,16,0.375,5,12,0.417,1,4,0.25,4,5,0.8,3,9,12,7,0,1,2,3,17,15
307,Anthony Davis\davisan02,25-311,F-C,1/16/19,NOP,@,GSW,L,1,41,11,26,0.423,10,22,0.455,1,4,0.25,7,8,0.875,3,15,18,7,1,3,2,2,30,27.6
308,DeMar DeRozan\derozde01,29-100,G-F,11/15/18,SAS,@,LAC,L,1,41,14,30,0.467,14,27,0.519,0,3,0,6,8,0.75,0,6,6,5,3,1,1,4,34,24.2
