School_Name,School_year,Reported,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
PARKWOOD ELEMENTARY,2016-17,Y,450,94.4,4.2,0.9,2.9,0.4,0.2,2.4,2.7,2,2.9,2.4,3.1,425,19,4,13,2,1,11,12,9,13,11,14,SHORELINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"1815 N. 155TH STREET
SHORELINE
(47.741432, -122.336397)"
LAKE QUINAULT ELEMENTARY,2016-17,Y,87,82.8,3.4,2.3,0,1.1,0,2.3,2.3,2.3,2.3,3.4,2.3,72,3,2,0,1,0,2,2,2,2,3,2,LAKE QUINAULT SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N,"6130 HWY 101 N
AMANDA PARK
(47.459155, -123.895627)"
RIVERSIDE ELEMENTARY,2016-17,Y,378,89.9,6.3,1.9,4.2,0.3,0,3.7,3.7,3.7,4,4.2,4.8,340,24,7,16,1,0,14,14,14,15,16,18,RIVERSIDE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N,"3802 EAST DEER PARK-MILAN RD.
CHATTAROY
(47.970588, -117.357307)"
MATHEIA SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N,"2205 NW 67TH ST
SEATTLE
(47.67769, -122.384356)"
MONTESSORI AT SAMISH WOODS,2016-17,Y,65,80,20,1.5,20,0,0,4.6,7.7,9.2,9.2,15.4,13.8,52,13,1,13,0,0,3,5,6,6,10,9,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-6,Y,Y,"1027 SAMISH WAY
BELLINGHAM
(48.722052, -122.470713)"
LAKE WASHINGTON HIGH,2016-17,Y,1649,84.2,7.7,1.2,6.1,0.5,0.3,3.9,3.5,4.1,3.3,4.4,4.5,1389,127,20,101,8,5,64,58,68,54,72,75,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"12033 NE 80TH
KIRKLAND
(47.675381, -122.180067)"
LOON LAKE ELEMENTARY SCHOOL,2016-17,Y,106,78.3,10.4,0,10.4,0,0,6.6,7.5,5.7,6.6,6.6,5.7,83,11,0,11,0,0,7,8,6,7,7,6,LOON LAKE SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"4001 MAPLE STREET
LOON LAKE
(48.062689, -117.630534)"
OAKRIDGE RANCH - MONTESSORI FARM SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,WEST VALLEY SCHOOL DISTRICT (YAKIMA),YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,8-Jan,N,Y,"11002 ORCHARD AVE
YAKIMA
(46.596575, -120.659037)"
LINCOLN HIGH SCHOOL,2016-17,Y,190,83.2,2.1,0.5,1.6,0,0,0.5,0.5,1.1,0.5,1.1,1.1,158,4,1,3,0,0,1,1,2,1,2,2,WALLA WALLA PUBLIC SCHOOLS,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,12-Sep,N,N,"421 S. 4TH AVE
WALLA WALLA
(46.059574, -118.337968)"
RAINIER ELEMENTARY SCHOOL,2016-17,Y,529,91.1,1.7,1.7,0,0,0,0.4,0.4,0.8,0.4,0.9,0.9,482,9,9,0,0,0,2,2,4,2,5,5,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N,"2410 STRYKER AVE
JBLM LEWIS MCCHORD
(47.085378, -122.609752)"
KITSAP ADVENTIST CHRISTIAN SCHOOL,2016-17,Y,16,93.8,6.3,0,6.3,0,0,6.3,6.3,6.3,6.3,6.3,6.3,15,1,0,1,0,0,1,1,1,1,1,1,CENTRAL KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-8,Y,Y,"5088 NW TAYLOR RD
BREMERTON
(47.5866, -122.718512)"
SEHOME HIGH SCHOOL,2016-17,Y,1194,77.7,8.7,0.6,7.9,0.1,0.3,4,3,3.4,4.2,6,4.5,928,104,7,94,1,4,48,36,41,50,72,54,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"2700 BILL MCDONALD PKWY
BELLINGHAM
(48.728526, -122.482045)"
QUEEN OF ANGELS SCHOOL,2016-17,Y,104,99,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,PORT ANGELES SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-8,Y,Y,"1007 S OAK ST
PORT ANGELES
(48.111903, -123.442608)"
MT. PILCHUCK ELEMENTARY SCHOOL,2016-17,Y,673,75.9,4.6,1.8,2.1,0.7,0,2.8,2.7,3.9,3.1,3.1,4,511,31,12,14,5,0,19,18,26,21,21,27,LAKE STEVENS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"12806 20TH STREET NE
LAKE STEVENS
(48.015448, -122.05705)"
ISSAQUAH HIGH SCHOOL,2016-17,Y,2329,92.7,3.6,1.1,2.7,0.2,0,2,1.7,1.8,1.3,2,1.8,2159,85,26,64,4,0,46,40,41,31,46,42,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"700 2ND AVE SE
ISSAQUAH
(47.522687, -122.030481)"
PIONEER SCHOOL,2016-17,Y,55,98.2,1.8,0,1.8,0,0,1.8,1.8,1.8,1.8,1.8,1.8,54,1,0,1,0,0,1,1,1,1,1,1,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K-5,Y,N,"618 N SULLIVAN RD
VERADALE
(47.663056, -117.196507)"
RAINIER MIDDLE SCHOOL,2016-17,Y,905,88.3,4.3,0.8,3.2,0.4,0.1,2.7,2.7,1.9,2.1,1.7,2.3,799,39,7,29,4,1,24,24,17,19,15,21,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"30620 116TH AVE SE
AUBURN
(47.327309, -122.186961)"
SALK MIDDLE SCHOOL,2016-17,Y,715,92.9,7.1,2.9,4.3,0.3,0,3.2,3.2,2,2.1,2.4,5.2,664,51,21,31,2,0,23,23,14,15,17,37,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,8-Jul,N,N,"6411 N ALBERTA ST
SPOKANE
(47.716044, -117.448799)"
MC DONALD ELEMENTARY,2016-17,Y,457,88.8,7.2,3.5,5.3,0,0,2.6,2.4,2.4,3.7,5.3,4.8,406,33,16,24,0,0,12,11,11,17,24,22,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"4400 INTERLAKE AV N
SEATTLE
(47.660149, -122.340686)"
LYNNWOOD ELEMENTARY,2016-17,Y,601,81.9,4.8,1,3.3,0.7,0,3.3,3.3,3.8,3.8,3,4.2,492,29,6,20,4,0,20,20,23,23,18,25,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"18638 44TH AVE W
LYNNWOOD
(47.829666, -122.29244)"
MT TAHOMA,2016-17,Y,1474,92.6,1.1,0.1,0.8,0.1,0.1,0.7,0.9,0.7,0.7,0.9,0.8,1365,16,1,12,2,1,11,14,11,10,13,12,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"4634 S 74TH ST
TACOMA
(47.19053, -122.500213)"
PASCO SENIOR HIGH SCHOOL,2016-17,Y,2175,99.4,0.6,0,0.4,0.1,0,0.3,0.5,0.4,0.3,0.3,0.4,2162,13,1,9,3,0,6,10,8,7,6,9,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,12-Sep,N,N,"1108 N 10TH AVENUE
PASCO
(46.239423, -119.102512)"
MOUNTAIN VIEW CHRISTIAN SCHOOL,2016-17,Y,9,44.4,55.6,0,55.6,0,0,55.6,55.6,33.3,33.3,22.2,44.4,4,5,0,5,0,0,5,5,3,3,2,4,SEQUIM SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-8,Y,Y,"255 MEDSKER RD
SEQUIM
(48.101438, -123.096021)"
PEARL STREET CENTER,2016-17,Y,10,80,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Jun,N,Y,"815 S PEARL ST
TACOMA
(47.253244, -122.515803)"
ORTING MIDDLE SCHOOL,2016-17,Y,572,94.9,4.2,1.2,3.1,0,0,2.3,1.9,1.6,1.4,1.7,2.8,543,24,7,18,0,0,13,11,9,8,10,16,ORTING SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"111 WHITEHAWK BLVD NW
ORTING
(47.101131, -122.215064)"
MILLER JUNIOR HIGH,2016-17,Y,480,93.3,1.9,0.2,1.5,0.2,0,1.5,1.5,1,1,0.6,0.8,448,9,1,7,1,0,7,7,5,5,3,4,ABERDEEN SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,8-Jul,N,N,"100 E LINDSTROM
ABERDEEN
(46.963052, -123.792519)"
RIDGEVIEW ELEMENTARY,2016-17,Y,353,95.2,4.2,0.8,2.3,0.6,0.8,3.1,3.1,3.1,3.1,2.5,4,336,15,3,8,2,3,11,11,11,11,9,14,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"1515 W JOSEPH AVE
SPOKANE
(47.709866, -117.434243)"
NORTHERN LIGHTS MONTESSORI SCHOOL,2016-17,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N,"8460 160TH AVE NE
REDMOND
(47.678006, -122.127515)"
KAMIAKIN MIDDLE SCHOOL,2016-17,Y,575,88.9,7,0.9,6.1,0,0,2.8,2.4,1.9,2.6,3,4.2,511,40,5,35,0,0,16,14,11,15,17,24,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"14111 132ND AVE NE
KIRKLAND
(47.727093, -122.164026)"
ROSE HILL ELEMENTARY,2016-17,Y,455,87.9,4.8,1.3,3.5,0,0.2,2.9,2.9,3.5,3.3,3.5,3.5,400,22,6,16,0,1,13,13,16,15,16,16,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"8044 128TH AVE NE
KIRKLAND
(47.676206, -122.169333)"
LYNDEN ACADEMY,2016-17,Y,257,49.8,22.2,2.7,17.5,2.3,0,17.9,17.9,17.9,18.3,18.3,18.7,128,57,7,45,6,0,46,46,46,47,47,48,LYNDEN SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y,"200 S BC AVE STE 102
LYNDEN
(48.938756, -122.463608)"
MCMICKEN HEIGHTS ELEMENTARY,2016-17,Y,561,100,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,"3708 S 168TH ST
SEATAC
(47.45288, -122.285802)"
MEAD SENIOR HIGH SCHOOL,2016-17,Y,1635,94.4,4.3,1,4.2,0.1,0.2,2.4,2.4,2,1.9,2.1,3.4,1544,71,16,68,2,3,40,40,32,31,34,56,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"302 W HASTINGS RD
SPOKANE
(47.769209, -117.413504)"
"LYNDEN CHRISTIAN SCHOOL, BELLINGHAM",2016-17,Y,131,84.7,13.7,0.8,13.7,0,0,6.1,6.1,7.6,5.3,10.7,10.7,111,18,1,18,0,0,8,8,10,7,14,14,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,"567 E KELLOGG RD
BELLINGHAM
(48.793358, -122.470702)"
LIBERTY CHRISTIAN SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,COLLEGE PLACE SCHOOL DISTRICT,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y,"3172 PEPPERS BRIDGE RD
WALLA WALLA
(46.028327, -118.382132)"
QUINCY HIGH TECH HIGH,2016-17,Y,46,45.7,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,QUINCY SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,12-Sep,N,N,"404 1ST AVE SW
QUINCY
(47.23401, -119.854865)"
MCLOUGHLIN MIDDLE SCHOOL,2016-17,Y,994,92.2,3.4,0.3,2,0.3,0.9,2.2,1.9,1.6,1.3,1.6,2.3,916,34,3,20,3,9,22,19,16,13,16,23,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,8-Jun,N,Y,"5802 MACARTHUR BLVD
VANCOUVER
(45.622937, -122.61005)"
MATTSON MIDDLE SCHOOL,2016-17,Y,634,91.6,5.4,1.3,3.8,0.5,0.2,3.3,3,2.4,2.1,2.5,3.5,581,34,8,24,3,1,21,19,15,13,16,22,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jul,N,N,"16400 SE 251ST ST
COVINGTON
(47.376966, -122.121373)"
ONALASKA ELEMENTARY SCHOOL,2016-17,Y,362,93.9,3.6,1.1,2.8,0,0,2.5,2.8,1.9,2.5,2.5,3,340,13,4,10,0,0,9,10,7,9,9,11,ONALASKA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N,"551 CARLISLE AVE
ONALASKA
(46.581899, -122.719521)"
LINCOLN ELEMENTARY SCHOOL,2016-17,Y,370,93.8,5.4,0.5,4.3,0.5,0.3,3.5,3,3.5,3.2,3.5,4.6,347,20,2,16,2,1,13,11,13,12,13,17,MOUNT VERNON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"1005 S 11TH ST
MOUNT VERNON
(48.415197, -122.327568)"
ROOSEVELT ELEMENTARY SCHOOL,2016-17,Y,398,91.7,5.5,1.5,3.8,0.3,0.3,4.3,4.3,4,4,4.3,4.5,365,22,6,15,1,1,17,17,16,16,17,18,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"2900 YEW ST
BELLINGHAM
(48.76708, -122.442617)"
SACAJAWEA ELEMENTARY,2016-17,Y,501,99.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,497,1,1,0,0,0,1,1,1,1,1,1,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"518 CATSKILL
RICHLAND
(46.306405, -119.276533)"
PIONEER ELEMENTARY SCHOOL,2016-17,Y,713,73.1,9.3,0.6,8,0,0.7,8.7,8.7,9.3,8.7,7.9,9.3,521,66,4,57,0,5,62,62,66,62,56,66,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"7212 NE 166TH AVENUE
VANCOUVER
(45.677527, -122.501866)"
WARREN HUNT ELEMENTARY,2016-17,Y,643,86.5,3.4,0.5,2.6,0.3,0,3.1,2.3,3.3,3.3,3.1,3.6,556,22,3,17,2,0,20,15,21,21,20,23,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"12801 144TH ST E
PUYALLUP
(47.125471, -122.258129)"
SEVEN OAKS ELEMENTARY,2016-17,Y,457,96.1,2.2,0,1.8,0.2,0.2,1.1,1.1,1.3,1.5,2,1.5,439,10,0,8,1,1,5,5,6,7,9,7,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"1800 SEVEN OAKS DR SE
LACEY
(47.028582, -122.772742)"
SUMMIT SCHOOL,2016-17,Y,350,88.9,11.1,0.6,10.9,0,0,6.6,6.6,6.3,6.6,7.4,9.1,311,39,2,38,0,0,23,23,22,23,26,32,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y,"612 S MCDONALD
SPOKANE VALLEY
(47.652333, -117.228977)"
WAHKIAKUM HIGH SCHOOL,2016-17,Y,124,71,6.5,2.4,3.2,0.8,0,3.2,2.4,3.2,4.8,4,4.8,88,8,3,4,1,0,4,3,4,6,5,6,WAHKIAKUM SCHOOL DISTRICT,WAHKIAKUM,EDUCATIONAL SERVICE DISTRICT 112,12-Sep,N,N,"500 S 3RD ST
CATHLAMET
(46.199583, -123.379686)"
SOMERSET ELEMENTARY SCHOOL,2016-17,Y,726,92.7,3.6,0.7,2.6,0.3,0,2.3,2.3,2.2,2.3,2.1,2.9,673,26,5,19,2,0,17,17,16,17,15,21,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"14100 SOMERSET BOULEVARD SE
BELLEVUE
(47.562405, -122.151985)"
WESTHILL ELEMENTARY,2016-17,Y,505,91.9,5.5,1.2,4.2,0.2,0,3,3,3.4,3.4,4.2,4.4,464,28,6,21,1,0,15,15,17,17,21,22,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"19515 88 AV NE
BOTHELL
(47.770532, -122.223191)"
STEILACOOM HIGH,2016-17,Y,961,92.9,2,0.3,1.5,0.1,0.2,1.2,1,1,0.7,0.8,1.8,893,19,3,14,1,2,12,10,10,7,8,17,STEILACOOM HIST. SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"54 SENTINEL DRIVE
STEILACOOM
(47.177526, -122.58052)"
THE RIVER ACADEMY,2016-17,Y,190,77.4,20.5,1.1,20.5,0,0,15.3,15.8,15.3,13.7,14.2,17.9,147,39,2,39,0,0,29,30,29,26,27,34,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K-12,Y,Y,"650 CRAWFORD ST
WENATCHEE
(47.404254, -120.31516)"
WIDE HOLLOW ELEMENTARY,2016-17,Y,371,96.2,2.2,1.1,1.1,0,0,0.8,0.8,1.3,0.8,1.1,1.3,357,8,4,4,0,0,3,3,5,3,4,5,WEST VALLEY SCHOOL DISTRICT (YAKIMA),YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N,"1000 S 72ND AVE
YAKIMA
(46.586378, -120.604325)"
WAHITIS ELEMENTARY SCHOOL,2016-17,Y,545,97.2,0.7,0,0.6,0.2,0,0.2,0.2,0.2,0.2,0.4,0.6,530,4,0,3,1,0,1,1,1,1,2,3,OTHELLO SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"905 SOUTH 14TH AVENUE
OTHELLO
(46.818058, -119.154581)"
WASHINGTON ELEMENTARY SCHOOL,2016-17,Y,558,98,1.3,0.2,0.9,0,0,1.4,1.6,1.3,1.6,1.4,1.1,547,7,1,5,0,0,8,9,7,9,8,6,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"105 WEST 21ST AVENUE
KENNEWICK
(46.189225, -119.119343)"
VOYAGER MIDDLE SCHOOL,2016-17,Y,860,84.2,4.8,0.7,4,0.2,0,2.2,2.2,1.4,1.4,1,3.4,724,41,6,34,2,0,19,19,12,12,9,29,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jun,N,Y,"11711 4TH AVE W
EVERETT
(47.891241, -122.238866)"
WEST SEATTLE HIGH SCHOOL,2016-17,Y,1007,66.9,10.5,8.4,3.6,0,0,2.5,2.4,1.7,1.7,3.2,9.4,674,106,85,36,0,0,25,24,17,17,32,95,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"3000 CALIFORNIA AV SW
SEATTLE
(47.576582, -122.386733)"
TIFFANY PARK ELEMENTARY SCHOOL,2016-17,Y,448,91.7,5.6,0.9,4.7,0.2,0,3.1,3.1,4.5,3.6,2.9,5.1,411,25,4,21,1,0,14,14,20,16,13,23,RENTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"1601 LAKE YOUNGS WAY SE
RENTON
(47.466149, -122.178521)"
WHITE PASS JR. SR. HIGH SCHOOL,2016-17,Y,223,57.4,4,0.4,3.6,0,0,3.1,3.1,3.6,3.1,3.6,3.6,128,9,1,8,0,0,7,7,8,7,8,8,WHITE PASS SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,12-Jul,N,N,"516 SILVERBROOK ROAD
RANDLE
(46.537487, -121.927963)"
TAHOMA MIDDLE SCHOOL,2016-17,Y,609,89,3.9,1.1,2.8,0.2,0,1.5,1.3,1.8,1.8,2.5,3.1,542,24,7,17,1,0,9,8,11,11,15,19,TAHOMA SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-Jun,N,Y,"24425 SE 216TH ST
MAPLE VALLEY
(47.408268, -122.014671)"
SPIRITRIDGE ELEMENTARY SCHOOL,2016-17,Y,679,91.5,5.4,1.5,4.4,0,0,2.2,2.2,2.8,2.9,2.7,3.8,621,37,10,30,0,0,15,15,19,20,18,26,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"301 151ST PLACE NE (TEMPORARY)
BELLEVUE
(47.611225, -122.138229)"
ST. ANNE SCHOOL,2016-17,Y,259,95.4,4.6,1.5,3.1,0,0,0,0,2.3,3.1,2.3,2.7,247,12,4,8,0,0,0,0,6,8,6,7,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"101 W LEE ST
SEATTLE
(47.631295, -122.357921)"
STAHL JUNIOR HIGH,2016-17,Y,847,95.3,4,0.8,3,0.2,0,1.7,2.7,1.5,1.4,1.5,2.4,807,34,7,25,2,0,14,23,13,12,13,20,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-Jul,N,N,"9610 168TH ST E
PUYALLUP
(47.10332, -122.301863)"
WELLINGTON ELEMENTARY,2016-17,Y,528,93.2,6.4,0.6,5.7,0.2,0,4,4,4.2,4.2,5.3,4.9,492,34,3,30,1,0,21,21,22,22,28,26,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"16501 NE 195 ST
WOODINVILLE
(47.768722, -122.119135)"
VOSSBECK ELEMENTARY SCHOOL,2016-17,Y,467,91.6,3.4,0.4,3.2,0,0,2.8,3,3,3,2.4,3.2,428,16,2,15,0,0,13,14,14,14,11,15,LYNDEN SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"1301 BRIDGEVIEW DR
LYNDEN
(48.958182, -122.43061)"
THE CHILDREN'S INN ACADEMY,2016-17,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-6,Y,Y,"1939 KAREN FRAZIER RD SE
OLYMPIA
(47.031652, -122.862856)"
WAYNE M HENKLE MIDDLE SCHOOL,2016-17,Y,190,85.8,11.6,1.6,9.5,1.1,0.5,5.8,5.3,6.3,4.7,4.2,7.9,163,22,3,18,2,1,11,10,12,9,8,15,WHITE SALMON VALLEY SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,8-May,N,Y,"480 NW LOOP ROAD
WHITE SALMON
(45.739269, -121.493632)"
OPEN DOORS (1418),2016-17,Y,169,60.9,11.8,2.4,10.1,0.6,0,8.9,8.9,4.7,4.1,6.5,5.3,103,20,4,17,1,0,15,15,8,7,11,9,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"901 E 2ND AV #100
SPOKANE
(47.654619, -117.396546)"
SOUTH COLBY ELEMENTARY,2016-17,Y,382,94.2,5.5,1,4.5,0,0,3.1,3.1,3.4,3.1,3.7,4.5,360,21,4,17,0,0,12,12,13,12,14,17,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y,"3281 BANNER ROAD SE
PORT ORCHARD
(47.518366, -122.546258)"
SEQUIM COMMUNITY SCHOOL (OLYMPIC PENINSULA ACADEMY),2016-17,Y,87,54,27.6,3.4,21.8,2.3,0,21.8,20.7,17.2,16.1,14.9,21.8,47,24,3,19,2,0,19,18,15,14,13,19,SEQUIM SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-12,Y,Y,"220 W ALDER
SEQUIM
(48.08234, -123.106376)"
ST. PAUL CATHEDRAL SCHOOL,2016-17,Y,137,94.9,3.6,2.9,0,0.7,0,3.6,3.6,3.6,3.6,3.6,3.6,130,5,4,0,1,0,5,5,5,5,5,5,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-8,Y,Y,"1214 W CHESTNUT AVE
YAKIMA
(46.596234, -120.526406)"
